river,station,length,weight,mercury
wacamaw,w1,31.7,407,0.5
wacamaw,w1,34.5,496,0.58
wacamaw,w1,40.1,805,1.4
wacamaw,w1,30.7,315,0.44
wacamaw,w2,33,518,0.55
wacamaw,w2,40.5,970,0.84
wacamaw,w2,32,421,0.65
wacamaw,w2,37,673,0.76
wacamaw,w2,35.5,550,0.65
wacamaw,w2,30,331,0.5
wacamaw,w2,40,856,1.1
wacamaw,w2,35,487,1
wacamaw,w2,39.5,923,1.2
wacamaw,w2,31,415,0.53
wacamaw,w2,31.5,521,0.74
wacamaw,w2,30,348,0.41
wacamaw,w2,33,440,0.78
wacamaw,w2,47,586,1.3
wacamaw,w3,54,2664,1.8
wacamaw,w3,57.6,3283,1.4
wacamaw,w3,46.2,1573,0.75
wacamaw,w4,34.8,491,0.57
wacamaw,w4,34.5,560,0.69
wacamaw,w4,38.5,870,1.8
wacamaw,w4,40,864,0.93
wacamaw,w4,46.4,1285,3.4
wacamaw,w4,41.9,1188,2.4
wacamaw,w4,46.2,1365,0.88
wacamaw,w4,47.3,1632,1.5
wacamaw,w4,47.1,1725,1.8
wacamaw,w4,39,977,1.5
wacamaw,w4,56.5,2451,2.1
wacamaw,w4,46.1,1327,0.91
wacamaw,w4,28.5,303,0.61
wacamaw,w4,25.5,203,0.76
wacamaw,w4,40.2,796,0.86
wacamaw,w4,44.5,1202,2.2
wacamaw,w4,36.5,566,2.9
wacamaw,w4,33.3,460,0.89
wacamaw,w4,28.3,274,0.5
wacamaw,w4,46,1342,2.2
wacamaw,w4,36.7,647,2.4
wacamaw,w5,39,844,0.69
wacamaw,w5,53,3026,2.7
wacamaw,w5,43,1258,0.9
wacamaw,w5,47.2,1699,1.9
wacamaw,w5,36.5,656,0.65
wacamaw,w5,43.2,1356,1.2
wacamaw,w5,41.5,1018,0.83
wacamaw,w5,36,874,1.3
wacamaw,w5,36.2,708,1.3
wacamaw,w6,27.3,250,0.28
wacamaw,w6,26.7,252,0.21
wacamaw,w6,27.5,283,0.14
wacamaw,w6,39,743,0.39
wacamaw,w6,33.9,465,0.39
wacamaw,w6,29.6,329,0.9
wacamaw,w6,46.5,1292,0.64
wacamaw,w6,57.5,2401,1.4
wacamaw,w6,49,1891,0.58
wacamaw,w6,34.9,498,0.42
wacamaw,w6,29,307,0.11
wacamaw,w6,31.5,376,0.28
wacamaw,w6,38.2,573,0.59
wacamaw,w7,28.6,338,1.1
wacamaw,w7,36.8,714,1.6
wacamaw,w7,43.4,1251,1.3
wacamaw,w7,48.1,1801,0.88
wacamaw,w8,50.8,2131,1.8
wacamaw,w8,46.8,1604,1.8
wacamaw,w8,40.2,1090,1.2
wacamaw,w8,58.7,3314,2.9
wacamaw,w8,56.1,2629,3.4
wacamaw,w8,48,1743,1.9
wacamaw,w8,44.7,1454,2.4
wacamaw,w8,43.6,1245,1.8
wacamaw,w8,37.6,937,2.4
wacamaw,w8,40,869,1.4
wacamaw,w8,37.4,879,1.6
wacamaw,w8,46.5,772,1.7
wacamaw,w8,36,724,1.3
wacamaw,w9,50.4,1744,0.93
wacamaw,w9,59.2,3524,3.6
wacamaw,w9,58.4,2902,3.5
wacamaw,w9,54,2709,2.4
wacamaw,w9,53.7,2625,2.9
wacamaw,w9,49.5,1924,2.3
wacamaw,w9,47.5,1546,1.4
wacamaw,w9,54.2,3164,2.1
wacamaw,w9,45.4,1710,1.7
wacamaw,w9,41.7,1255,1.4
wacamaw,w9,36,702,0.92
