"profnumber" "beauty" "eval" "courseID" "tenured" "minority" "age" "didevaluation" "female" "formal" "lower" "multipleclass" "nonenglish" "onecredit" "percentevaluating" "profevaluation" "students" "tenuretrack"
36 0.9525534 3.8 0 1 1 44 30 1 0 0 0 0 0 54.54546 3.9 55 1
37 -1.140457 3.8 16 1 1 47 20 0 0 0 1 0 0 74.07407 3.9 27 1
38 -0.8161172 4 0 1 0 62 12 0 1 0 0 0 0 92.30769 4.1 13 1
39 -0.4837456 4.6 0 1 0 60 25 0 0 0 0 0 0 73.52941 4.8 34 1
40 0.8450468 3.5 14 0 0 37 15 0 0 0 1 0 0 88.23529 3.3 17 1
41 -0.3261277 4.7 0 0 0 42 13 0 0 0 0 0 0 92.85714 4.4 14 1
42 0.1865589 4.2 22 1 0 35 42 0 0 0 1 0 0 82.35294 4.3 51 1
43 1.881674 3.4 21 0 0 39 22 1 0 1 1 0 0 91.66666 3.3 24 0
44 0.9626006 3.9 22 1 0 49 28 0 1 0 1 0 0 62.22222 4 45 1
45 0.1534694 4.5 21 1 0 61 22 0 1 1 1 0 0 81.48148 4.5 27 1
46 1.261046 4.7 22 0 0 33 30 0 1 0 1 0 0 96.77419 4.9 31 1
47 0.0232144 3.5 23 1 0 58 26 1 1 0 1 0 0 76.47059 3.7 34 1
48 -0.3460746 3.7 22 1 0 56 12 1 1 0 1 0 0 63.15789 3.9 19 1
49 -0.744618 4 21 0 0 50 22 1 0 1 1 0 0 81.48148 4.4 27 0
50 -0.7447439 4.1 0 1 0 52 57 0 0 0 0 0 0 85.07462 4.4 67 1
51 0.6361284 4.4 0 0 0 33 10 1 0 0 0 0 0 66.66666 4.5 15 1
52 0.5434852 4.2 0 1 0 57 69 0 0 0 0 0 0 89.61039 4.3 77 1
53 0.9825948 4.5 1 1 0 38 46 1 1 0 1 0 0 70.76923 4.8 65 1
54 -1.538843 3.8 0 0 0 34 54 1 0 1 0 0 0 59.34066 4.1 91 1
55 1.067531 3.1 0 0 0 34 24 0 0 0 0 0 0 66.66666 3.5 36 1
56 -0.4143639 3.7 0 0 0 32 85 0 1 1 0 0 0 34.27419 4 248 1
57 0.7962944 3.9 0 1 0 42 44 1 0 1 0 0 0 70.96774 3.8 62 1
58 -0.6466943 4 0 1 0 43 35 1 0 1 0 0 0 68.62745 4.1 51 1
59 -0.4299034 3.3 25 0 0 35 11 0 0 0 1 1 0 57.89474 3.7 19 1
60 -0.5924066 3.1 0 1 0 62 22 1 0 0 0 0 0 81.48148 3.2 27 1
61 -0.9889295 4 0 1 0 42 45 0 0 0 0 0 0 52.32558 4.2 86 1
62 0.5546651 4.3 0 1 0 39 22 0 0 0 0 0 0 75.86207 4.5 29 1
63 0.6851749 3.7 0 1 0 52 64 1 1 0 0 0 0 72.72727 3.8 88 1
64 0.9755885 3.4 0 1 0 52 31 1 0 0 0 0 0 70.45454 3.7 44 1
65 -1.178738 4.3 0 0 0 52 59 1 0 0 0 0 0 78.66666 4.5 75 0
66 -1.157511 3.7 0 1 0 64 9 0 0 0 0 0 0 81.81818 3.8 11 1
67 1.327346 4.2 0 1 0 50 15 0 0 0 0 0 0 93.75 4.5 16 1
68 -1.511268 2.2 0 1 0 60 23 0 0 0 0 0 0 71.875 2.4 32 1
69 0.3034731 3 0 1 0 51 47 1 1 0 0 0 0 70.14925 3 67 1
70 -0.5783117 4.3 0 0 0 43 19 0 0 1 0 0 0 86.36364 4.5 22 1
71 -0.671936 4.6 0 0 1 50 17 0 0 1 0 0 1 70.83334 4.6 24 0
72 0.6683338 3.5 0 1 0 52 46 0 0 0 0 0 0 66.66666 3.5 69 1
73 0.7924695 4.6 0 1 0 51 348 0 1 1 0 0 0 60.62718 4.8 574 1
74 -0.6548505 3.7 0 1 0 38 44 0 0 1 0 0 0 50.57471 4.2 87 1
75 0.2510546 3.8 24 1 0 47 19 1 1 1 1 0 0 79.16666 4 24 1
76 -0.2397178 3.6 0 1 1 43 47 1 1 1 0 0 0 45.63107 3.7 103 1
77 -1.113346 4.4 0 0 0 38 33 1 0 1 0 0 0 48.52941 4.5 68 0
78 -0.1135935 4.1 0 1 0 43 10 0 1 1 0 0 0 76.92308 4.7 13 1
79 -0.8351366 4.3 0 1 0 57 7 0 0 0 0 0 0 53.84615 4.3 13 1
80 0.9005994 4 0 1 0 51 9 1 0 0 0 0 0 81.81818 4 11 1
81 -0.620769 4.8 20 0 0 45 12 0 0 1 1 0 1 70.58823 4.8 17 0
82 -0.8552412 3.5 0 1 0 57 13 0 0 1 0 0 0 92.85714 3.5 14 1
83 1.065906 3.6 0 0 0 47 16 1 0 1 0 0 0 76.19048 3.3 21 0
84 1.144253 3.8 30 1 1 54 18 1 0 1 1 0 0 100 4.2 18 1
85 1.685985 4.7 28 0 0 58 16 0 0 1 1 0 0 94.11765 4.8 17 0
86 1.684802 4.9 0 1 0 42 15 0 0 1 0 0 0 83.33334 4.9 18 1
87 0.6362435 4.3 0 0 0 33 85 0 0 1 0 0 0 70.83334 4.5 120 1
88 -1.269975 3.3 0 1 0 62 11 0 0 1 0 0 0 28.94737 3.3 38 1
89 1.681103 3.4 0 0 1 35 60 1 0 1 0 0 0 62.5 3.3 96 1
90 -0.6756103 3.6 0 1 0 61 27 0 0 1 0 0 0 69.23077 3.6 39 1
91 -0.0901815 4 0 1 0 52 61 1 0 1 0 0 0 54.95496 4.1 111 1
92 -0.1450257 3.9 0 0 0 60 23 1 1 0 0 1 0 85.18519 3.7 27 1
93 1.143045 4.3 0 0 0 32 98 0 0 1 0 0 0 74.24242 4.5 132 1
94 0.3320507 3.3 0 0 1 42 48 1 0 0 0 1 0 57.14286 3.5 84 1
1 0.2015666 3.7 3 0 1 36 86 1 0 0 1 0 0 68.8 4.1 125 1
1 0.2015666 3.6 3 0 1 36 76 1 0 0 1 0 0 60.8 3.9 125 1
1 0.2015666 4.4 3 0 1 36 77 1 0 0 1 0 0 62.60163 4.8 123 1
2 -0.8260813 4 0 1 0 59 35 0 0 0 0 0 0 87.5 4.3 40 1
2 -0.8260813 2.1 0 1 0 59 39 0 0 0 0 0 0 88.63636 2.8 44 1
3 -0.6603327 3.2 4 1 0 51 111 0 0 0 1 0 0 56.92308 3.4 195 1
4 -0.7663125 3.5 4 1 0 40 24 1 0 0 1 0 0 88.88889 3.8 27 1
4 -0.7663125 4.1 0 1 0 40 24 1 0 0 0 0 0 96 4.5 25 1
4 -0.7663125 4.6 5 1 0 40 17 1 0 0 1 0 0 85 4.6 20 1
4 -0.7663125 3.8 27 1 0 40 14 1 0 0 1 0 0 56 3.9 25 1
4 -0.7663125 3.8 26 1 0 40 37 1 0 0 1 0 0 88.09524 3.9 42 1
4 -0.7663125 3.8 0 1 0 40 18 1 0 0 0 0 0 90 4.3 20 1
4 -0.7663125 4.2 0 1 0 40 15 1 0 0 0 0 0 83.33334 4.5 18 1
5 1.421445 3.9 0 0 0 31 40 1 0 0 0 0 0 90.90909 4.6 44 1
5 1.421445 4.5 0 0 0 31 38 1 0 0 0 0 0 79.16666 4.6 48 1
5 1.421445 4.5 0 0 0 31 40 1 0 0 0 0 0 88.88889 4.9 45 1
5 1.421445 4.4 0 0 0 31 52 1 0 0 0 0 0 88.13559 4.6 59 1
5 1.421445 4.4 26 0 0 31 49 1 0 0 1 0 0 56.32184 4.5 87 1
6 0.5002196 4.4 0 1 0 62 160 0 1 0 0 0 0 54.79452 4.6 292 1
6 0.5002196 4.5 0 1 0 62 79 0 1 0 0 0 0 60.76923 4.7 130 1
6 0.5002196 4.3 4 1 0 62 176 0 1 0 1 0 0 61.75439 4.5 285 1
6 0.5002196 4.6 0 1 0 62 155 0 1 0 0 0 0 56.98529 4.8 272 1
6 0.5002196 4.8 0 1 0 62 166 0 1 0 0 0 0 58.04196 4.9 286 1
6 0.5002196 4.3 4 1 0 62 186 0 1 0 1 0 0 61.58941 4.5 302 1
7 -0.2143501 4 4 0 0 33 29 1 0 0 1 0 0 85.29412 4.3 34 1
7 -0.2143501 4 3 0 0 33 37 1 0 0 1 0 0 90.2439 4.1 41 1
7 -0.2143501 3.9 4 0 0 33 29 1 0 0 1 0 0 70.7317 4.2 41 1
7 -0.2143501 3.3 4 0 0 33 28 1 0 0 1 0 0 82.35294 3.5 34 1
8 -0.346539 4.5 0 1 0 51 21 1 0 0 0 0 0 95.45454 4.5 22 1
8 -0.346539 4.5 0 1 0 51 13 1 0 0 0 0 0 61.90476 4.4 21 1
8 -0.346539 4.5 0 1 0 51 16 1 0 0 0 0 0 94.11765 4.4 17 1
8 -0.346539 2.5 0 1 0 51 24 1 0 1 0 0 0 80 2.5 30 1
8 -0.346539 4.3 0 1 0 51 23 1 0 0 0 0 0 100 4.3 23 1
8 -0.346539 4.5 0 1 0 51 20 1 0 0 0 0 0 100 4.5 20 1
9 0.0613435 4.7 26 0 0 33 29 1 0 0 1 0 0 87.87878 4.8 33 1
9 0.0613435 3.5 0 0 0 33 11 1 0 0 0 0 0 25 4.4 44 1
9 0.0613435 4.5 2 0 0 33 29 1 0 0 1 0 0 59.18367 4.7 49 1
9 0.0613435 3.8 4 0 0 33 25 1 0 0 1 0 0 86.20689 4.4 29 1
9 0.0613435 4.5 0 0 0 33 42 1 0 0 0 0 0 87.5 4.7 48 1
9 0.0613435 4.3 0 0 0 33 34 1 0 0 0 0 0 85 4.5 40 1
10 0.4525679 3.9 0 0 0 47 12 0 0 0 0 0 0 75 4.3 16 0
10 0.4525679 4.3 4 0 0 47 14 0 0 0 1 0 0 93.33334 4.4 15 0
10 0.4525679 4.2 4 0 0 47 22 0 0 0 1 0 0 95.65218 4.5 23 0
10 0.4525679 5 0 0 0 47 10 0 0 1 0 0 0 90.90909 5 11 0
10 0.4525679 5 0 0 0 47 17 0 0 1 0 0 0 58.62069 4.9 29 0
10 0.4525679 4.6 0 0 0 47 16 0 0 0 0 0 0 76.19048 4.6 21 0
10 0.4525679 5 0 0 0 47 15 0 0 1 0 0 0 83.33334 5 18 0
10 0.4525679 4.7 4 0 0 47 16 0 0 0 1 0 0 84.21053 4.7 19 0
10 0.4525679 5 0 0 0 47 16 0 0 1 0 0 0 80 5 20 0
11 0.1432643 2.7 4 0 1 35 30 0 0 0 1 1 0 90.90909 3.7 33 1
11 0.1432643 4 4 0 1 35 23 0 0 0 1 1 0 95.83334 4.3 24 1
12 -0.1550228 4.4 27 0 0 37 13 0 0 0 1 0 0 61.90476 4.2 21 0
12 -0.1550228 4.4 0 0 0 37 24 0 0 0 0 0 0 80 4.7 30 0
12 -0.1550228 4.3 0 0 0 37 24 0 0 0 0 0 0 96 4.7 25 0
12 -0.1550228 3.5 0 0 0 37 25 0 0 0 0 0 0 71.42857 3.5 35 0
13 0.1285433 3.8 0 1 0 42 18 0 0 0 0 0 0 60 4.2 30 1
13 0.1285433 3.9 0 1 0 42 28 0 0 0 0 0 0 66.66666 4 42 1
13 0.1285433 3.7 3 1 0 42 25 0 0 0 1 0 0 43.85965 4 57 1
13 0.1285433 3.3 3 1 0 42 40 0 0 0 1 0 0 70.17544 3.9 57 1
13 0.1285433 4 3 1 0 42 40 0 0 0 1 0 0 78.43137 4.4 51 1
13 0.1285433 3.8 0 1 0 42 18 0 0 0 0 0 0 60 3.8 30 1
14 -0.3470453 4.2 4 1 0 49 31 0 0 0 1 1 0 83.78378 4.2 37 1
14 -0.3470453 3.1 0 1 0 49 15 0 0 0 0 1 0 51.72414 3.5 29 1
14 -0.3470453 3.6 4 1 0 49 23 0 0 0 1 1 0 85.18519 3.6 27 1
15 0.4619388 3.3 0 0 0 37 34 1 0 0 0 0 0 65.38461 3.3 52 1
15 0.4619388 2.9 9 0 0 37 21 1 0 0 1 0 0 80.76923 3.3 26 1
15 0.4619388 3.1 9 0 0 37 29 1 0 0 1 0 0 96.66666 3.2 30 1
16 -0.1503849 4 6 1 0 45 45 0 0 1 1 0 0 25.42373 4.2 177 1
16 -0.1503849 4 6 1 0 45 90 0 0 1 1 0 0 45.22613 4.3 199 1
16 -0.1503849 4.2 9 1 0 45 27 0 0 0 1 0 0 84.375 4.4 32 1
16 -0.1503849 3.8 9 1 0 45 35 0 0 0 1 0 0 94.5946 4.1 37 1
16 -0.1503849 4.3 6 1 0 45 120 0 0 1 1 0 0 74.53416 4.6 161 1
17 -1.070734 4.6 10 0 0 56 39 1 0 0 1 0 0 88.63636 4.8 44 0
17 -1.070734 4.3 0 0 0 56 35 1 0 0 0 0 0 66.03773 4.3 53 0
17 -1.070734 3.6 0 0 0 56 34 1 0 0 0 0 0 69.38776 3.6 49 0
17 -1.070734 4.2 10 0 0 56 27 1 0 0 1 0 0 84.375 4.3 32 0
18 -0.1426931 3.9 0 0 0 48 20 0 0 0 0 0 0 60.60606 4.2 33 0
18 -0.1426931 4.1 0 0 0 48 14 0 0 0 0 0 0 73.68421 4.1 19 0
18 -0.1426931 4 0 0 0 48 65 0 0 1 0 0 0 58.55856 4.1 111 0
18 -0.1426931 4.3 0 0 0 48 95 0 0 1 0 0 0 63.75839 4.4 149 0
18 -0.1426931 3.9 0 0 0 48 18 0 0 0 0 0 0 66.66666 4.3 27 0
18 -0.1426931 4.2 0 0 0 48 85 0 0 1 0 0 0 62.5 4.4 136 0
18 -0.1426931 4.2 0 0 0 48 113 0 0 1 0 0 0 80.71429 4.4 140 0
19 -0.1563634 4.9 0 1 0 46 14 1 0 1 0 0 0 93.33334 5 15 1
19 -0.1563634 4 0 1 0 46 23 1 0 0 0 0 0 79.31035 4.4 29 1
19 -0.1563634 4.3 0 1 0 46 23 1 0 0 0 0 0 92 4.8 25 1
19 -0.1563634 4.9 0 1 0 46 9 1 0 0 0 0 0 50 4.9 18 1
19 -0.1563634 3.9 0 1 0 46 30 1 0 0 0 0 0 66.66666 4.3 45 1
19 -0.1563634 4.9 0 1 0 46 15 1 0 1 0 0 0 100 5 15 1
19 -0.1563634 3.9 0 1 0 46 31 1 0 0 0 0 0 81.57895 4.7 38 1
19 -0.1563634 4 0 1 0 46 12 1 0 1 0 0 0 80 4.5 15 1
20 -0.0589354 3.5 0 0 0 57 10 1 0 0 0 0 0 43.47826 3.9 23 0
20 -0.0589354 3.9 0 0 0 57 15 1 0 0 0 0 0 78.94736 4 19 0
20 -0.0589354 4 0 0 0 57 7 1 0 0 0 0 0 30.43478 4 23 0
20 -0.0589354 3.6 0 0 0 57 7 1 0 0 0 0 0 31.81818 3.7 22 0
20 -0.0589354 3 0 0 0 57 14 1 0 0 0 0 0 70 3.4 20 0
20 -0.0589354 3 0 0 0 57 8 1 0 0 0 0 0 42.10526 3.3 19 0
20 -0.0589354 3.6 0 0 0 57 17 1 0 0 0 0 0 73.91304 3.8 23 0
20 -0.0589354 3.6 0 0 0 57 10 1 0 0 0 0 0 45.45454 3.9 22 0
20 -0.0589354 3.2 0 0 0 57 12 1 0 0 0 0 0 80 3.4 15 0
21 0.1511368 3.9 0 0 0 52 27 1 0 0 0 0 0 87.09677 4.1 31 0
21 0.1511368 3.5 0 0 0 52 20 1 0 0 0 0 0 95.2381 3.7 21 0
21 0.1511368 3.5 0 0 0 52 31 1 0 0 0 0 0 86.11111 3.5 36 0
21 0.1511368 3.1 0 0 0 52 17 1 0 0 0 0 1 89.47369 3.5 19 0
21 0.1511368 4.2 9 0 0 52 23 1 0 0 1 0 0 62.16216 4.4 37 0
23 -0.8214405 3.6 6 1 0 62 94 0 0 1 1 0 0 51.08696 3.7 184 1
23 -0.8214405 4.5 10 1 0 62 46 0 0 0 1 0 0 92 4.7 50 1
23 -0.8214405 3.7 6 1 0 62 80 0 0 1 1 0 0 50.95541 3.9 157 1
23 -0.8214405 3.4 6 1 0 62 61 0 0 1 1 0 0 37.19512 3.6 164 1
24 -0.1994712 4.5 0 1 0 64 51 0 0 0 0 0 0 75 4.5 68 1
24 -0.1994712 4.6 0 1 0 64 22 0 0 0 0 0 0 46.80851 4.8 47 1
24 -0.1994712 4.8 0 1 0 64 10 0 0 0 0 0 0 71.42857 4.8 14 1
24 -0.1994712 4.5 0 1 0 64 11 0 0 0 0 0 0 73.33334 4.7 15 1
24 -0.1994712 4.4 0 1 0 64 15 0 0 0 0 0 0 62.5 4.5 24 1
24 -0.1994712 4.1 0 1 0 64 21 0 0 0 0 0 0 53.84615 4.3 39 1
25 1.687167 3.9 0 0 0 34 33 1 0 0 0 0 0 82.5 4.1 40 1
26 -0.4101976 4.3 8 1 0 58 71 0 0 0 1 0 0 47.01987 4.3 151 1
26 -0.4101976 3.5 24 1 0 58 36 0 0 1 1 0 0 76.59574 3.6 47 1
26 -0.4101976 4 25 1 0 58 73 0 0 0 1 0 0 59.83607 4.5 122 1
26 -0.4101976 4 24 1 0 58 31 0 0 1 1 0 0 68.88889 4.3 45 1
27 0.1233448 4.6 18 1 1 52 23 0 1 0 1 1 0 100 4.7 23 1
27 0.1233448 4.6 17 1 1 52 12 0 1 0 1 1 0 75 4.8 16 1
27 0.1233448 3.7 14 1 1 52 15 0 1 0 1 1 0 83.33334 3.5 18 1
27 0.1233448 3.5 14 1 1 52 11 0 1 0 1 1 0 68.75 3.8 16 1
27 0.1233448 3.6 18 1 1 52 12 0 1 0 1 1 0 80 3.6 15 1
27 0.1233448 3.9 0 1 1 52 18 0 1 0 0 1 0 64.28571 4.2 28 1
28 -0.8059942 4.2 13 1 0 73 10 0 1 0 1 0 0 76.92308 4.4 13 1
28 -0.8059942 3.2 0 1 0 73 16 0 1 0 0 0 0 76.19048 3.7 21 1
28 -0.8059942 4.9 17 1 0 73 13 0 1 0 1 0 0 76.47059 4.3 17 1
29 -0.8210418 4 19 1 0 70 5 0 1 0 1 0 0 10.41667 4.6 48 1
29 -0.8210418 3.5 19 1 0 70 34 0 1 0 1 0 0 53.125 4.1 64 1
29 -0.8210418 3.4 19 1 0 70 24 0 1 0 1 0 0 34.78261 3.6 69 1
31 -0.0985568 4.2 0 0 0 63 11 0 0 0 0 0 0 78.57143 4.4 14 0
31 -0.0985568 3.5 5 0 0 63 10 0 0 0 1 0 0 66.66666 3.6 15 0
31 -0.0985568 4.4 0 0 0 63 14 0 0 0 0 0 0 77.77778 4.4 18 0
31 -0.0985568 3.7 0 0 0 63 12 0 0 0 0 0 0 75 3.9 16 0
31 -0.0985568 3.4 0 0 0 63 8 0 0 0 0 0 0 80 3.8 10 0
31 -0.0985568 3 0 0 0 63 23 0 0 0 0 0 0 48.93617 3.4 47 0
32 -1.012306 3.9 0 1 0 47 10 0 0 0 0 0 0 71.42857 4.1 14 1
32 -1.012306 2.8 15 1 0 47 10 0 0 0 1 0 0 83.33334 3.2 12 1
33 0.4883314 3.7 0 1 0 39 154 0 0 1 0 0 0 48.73418 3.9 316 1
33 0.4883314 4.6 0 1 0 39 12 0 0 0 0 0 0 80 4.9 15 1
33 0.4883314 4.2 0 1 0 39 14 0 0 0 0 0 0 93.33334 4.7 15 1
33 0.4883314 4.4 5 1 0 39 27 0 0 0 1 0 0 93.10345 4.4 29 1
34 -0.1719505 3.8 0 0 1 47 8 1 0 0 0 0 0 100 4 8 1
34 -0.1719505 4.1 20 0 1 47 16 1 0 1 1 0 1 100 4.4 16 1
34 -0.1719505 3.7 21 0 1 47 24 1 0 1 1 0 0 92.30769 3.9 26 1
34 -0.1719505 4.1 0 0 1 47 7 1 0 0 0 0 0 70 4.4 10 1
34 -0.1719505 3 21 0 1 47 25 1 0 1 1 0 0 96.15385 3 26 1
34 -0.1719505 3.2 21 0 1 47 24 1 0 1 1 0 0 92.30769 3.5 26 1
34 -0.1719505 2.8 21 0 1 47 24 1 0 1 1 0 0 92.30769 2.8 26 1
34 -0.1719505 4.7 20 0 1 47 20 1 0 1 1 0 1 95.2381 4.6 21 1
34 -0.1719505 4.2 21 0 1 47 12 1 0 1 1 0 0 100 4.3 12 1
34 -0.1719505 3.2 21 0 1 47 25 1 0 1 1 0 0 92.59259 3.4 27 1
34 -0.1719505 3.1 21 0 1 47 26 1 0 1 1 0 0 96.2963 3 27 1
34 -0.1719505 4 21 0 1 47 24 1 0 1 1 0 0 96 4.2 25 1
35 -1.167907 4.2 18 1 0 54 10 0 1 0 1 0 0 66.66666 4.1 15 1
35 -1.167907 4.3 16 1 0 54 16 0 1 0 1 0 0 94.11765 4.6 17 1
36 0.9525534 3.3 19 1 1 44 35 1 0 0 1 0 0 72.91666 3.5 48 1
36 0.9525534 4.1 0 1 1 44 21 1 0 0 0 0 0 100 4 21 1
36 0.9525534 3.7 0 1 1 44 35 1 0 0 0 0 0 89.74359 4 39 1
37 -1.140457 3.3 17 1 1 47 9 0 0 0 1 0 0 64.28571 3.3 14 1
37 -1.140457 3.8 16 1 1 47 21 0 0 0 1 0 0 80.76923 4 26 1
37 -1.140457 3.4 0 1 1 47 13 0 0 0 0 0 0 81.25 3.8 16 1
37 -1.140457 4.2 0 1 1 47 13 0 0 0 0 0 0 81.25 4.2 16 1
37 -1.140457 3.8 0 1 1 47 12 0 0 0 0 0 0 92.30769 4 13 1
37 -1.140457 3.5 5 1 1 47 14 0 0 0 1 0 0 100 3.8 14 1
37 -1.140457 3.3 0 1 1 47 15 0 0 0 0 0 0 88.23529 3.3 17 1
38 -0.8161172 4.3 17 1 0 62 13 0 1 0 1 0 0 86.66666 4.7 15 1
38 -0.8161172 4.1 0 1 0 62 7 0 1 0 0 0 0 70 4.4 10 1
39 -0.4837456 4.5 17 1 0 60 12 0 0 0 1 0 0 75 4.8 16 1
39 -0.4837456 4.5 17 1 0 60 11 0 0 0 1 0 0 78.57143 4.6 14 1
39 -0.4837456 4.6 18 1 0 60 8 0 0 0 1 0 0 66.66666 4.6 12 1
39 -0.4837456 4.4 12 1 0 60 24 0 0 0 1 0 0 61.53846 4.8 39 1
39 -0.4837456 4.1 12 1 0 60 15 0 0 0 1 0 0 42.85714 4.4 35 1
39 -0.4837456 4.5 0 1 0 60 31 0 0 0 0 0 0 68.88889 4.7 45 1
39 -0.4837456 4.3 0 1 0 60 36 0 0 1 0 0 0 80 4.7 45 1
41 -0.3261277 4.4 0 0 0 42 14 0 0 0 0 0 0 100 4.3 14 1
41 -0.3261277 4.9 0 0 0 42 13 0 0 0 0 0 0 92.85714 4.9 14 1
41 -0.3261277 4.7 0 0 0 42 12 0 0 0 0 0 0 100 4.4 12 1
41 -0.3261277 4.6 0 0 0 42 13 0 0 0 0 0 0 86.66666 4.7 15 1
42 0.1865589 4.8 0 1 0 35 21 0 0 1 0 0 0 91.30434 4.8 23 1
42 0.1865589 4.2 22 1 0 35 49 0 0 0 1 0 0 85.96491 4.5 57 1
42 0.1865589 4.6 0 1 0 35 44 0 0 1 0 0 0 88 4.7 50 1
43 1.881674 4.7 0 0 0 39 18 1 0 0 0 0 0 78.26087 4.7 23 0
43 1.881674 4.6 0 0 0 39 20 1 0 0 0 0 0 86.95652 4.6 23 0
43 1.881674 3.6 21 0 0 39 27 1 0 1 1 0 0 96.42857 3.6 28 0
44 0.9626006 3.9 22 1 0 49 27 0 1 0 1 0 0 64.28571 4.1 42 1
44 0.9626006 4 22 1 0 49 49 0 1 0 1 0 0 85.96491 4 57 1
45 0.1534694 4.4 0 1 0 61 31 0 1 0 0 0 0 81.57895 4.6 38 1
45 0.1534694 4.5 21 1 0 61 19 0 1 1 1 0 0 86.36364 4.8 22 1
45 0.1534694 4.4 0 1 0 61 27 0 1 0 0 0 0 62.7907 4.6 43 1
46 1.261046 3 22 0 0 33 12 0 1 0 1 0 0 92.30769 3.1 13 1
46 1.261046 3.7 22 0 0 33 13 0 1 0 1 0 0 86.66666 3.7 15 1
48 -0.3460746 3.6 22 1 0 56 16 1 1 0 1 0 0 80 3.9 20 1
48 -0.3460746 3.1 22 1 0 56 17 1 1 0 1 0 0 73.91304 3.2 23 1
49 -0.744618 3.8 20 0 0 50 24 1 0 1 1 0 1 75 4.2 32 0
49 -0.744618 4.7 20 0 0 50 14 1 0 1 1 0 1 66.66666 4.7 21 0
49 -0.744618 3.8 0 0 0 50 23 1 0 0 0 0 0 95.83334 3.9 24 0
49 -0.744618 3.8 0 0 0 50 19 1 0 0 0 0 0 90.47619 3.6 21 0
49 -0.744618 2.8 0 0 0 50 18 1 0 0 0 0 0 64.28571 3.4 28 0
49 -0.744618 4 0 0 0 50 23 1 0 0 0 0 0 79.31035 4.4 29 0
50 -0.7447439 4 0 1 0 52 81 0 0 0 0 0 0 91.01124 4.1 89 1
