"Ideology" "Party" "Sex"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Slightly Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Conservative" "Democratic" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Very Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Slightly Liberal" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Moderate" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Slightly Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Conservative" "Republican" "Female"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Very Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Slightly Liberal" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Moderate" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Slightly Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Conservative" "Democratic" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Very Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Slightly Liberal" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Moderate" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
